FACILITYID,JURISDICTI2,Acres,AREA,PERCENTAGE
L01-749-1,SAN JUAN CAPISTRANO,3.572590658,3.572588102,99.99999933
L01-749-2,SAN JUAN CAPISTRANO,106.420893,106.4208168,100
L01-749-3,SAN JUAN CAPISTRANO,41.9301845,41.93015449,100
L01-759-1,ORANGE CO,33.01079189,19.42312671,100
L01-760-1,ORANGE CO,56.95310989,33.51047967,100
L01-760-2,ORANGE CO,55.36208794,32.57434275,100
L01-760-3,ORANGE CO,22.39344297,13.17601474,100
L01-766-2,SAN JUAN CAPISTRANO,245.4066175,245.4064419,99.99999998
L01-766-3,SAN JUAN CAPISTRANO,369.9807874,369.9805227,100
L01-766-4,SAN JUAN CAPISTRANO,25.87307346,25.87305495,100
L01-766-5,SAN JUAN CAPISTRANO,63.97593125,63.97588547,100
L01-766-7,SAN JUAN CAPISTRANO,56.73320033,56.73315973,100
L02-108-1,MISSION VIEJO,1.149376753,1.149371333,100
L02-166-1 (L02PXX),MISSION VIEJO,4.221264692,4.221244787,5.462000754
L02-166-1 (L02PXX),RANCHO SANTA MARGARITA,73.06260757,73.06261114,94.53799939
L02-166-2 (L02P25),MISSION VIEJO,121.8375362,121.8369617,33.47599172
L02-166-2 (L02P25),RANCHO SANTA MARGARITA,242.1162818,242.1162936,66.5240082
L02-166-3,ORANGE CO,4.721197169,2.777891884,0.561546905
L02-166-3,RANCHO SANTA MARGARITA,491.9077219,491.907746,99.43845321
L02-204-1 (L02P45),RANCHO SANTA MARGARITA,53.98212843,53.98213107,100
L02-246-1 (L11P01),RANCHO SANTA MARGARITA,228.0302932,228.0303044,100
L02-344-1,ORANGE CO,301.1810326,177.2110581,99.37899245
L02-344-1,RANCHO SANTA MARGARITA,1.107371133,1.107371188,0.621007707
L02-359-1 (L02P43),MISSION VIEJO,91.64765252,91.64722036,99.12347837
L02-359-1 (L02P43),ORANGE CO,1.377343297,0.810411137,0.876521628
L02-366-1 (L02-P14),MISSION VIEJO,198.7268356,198.7258985,99.95135595
L02-366-1 (L02-P14),ORANGE CO,0.164373876,0.096715481,0.048644105
L02-374-1 (L02P50),ORANGE CO,775.8197182,456.4823754,100
L02-374-2 (MVL02P20),MISSION VIEJO,84.33812721,84.33772952,100
L02-396-1,MISSION VIEJO,192.3372929,192.3363859,99.27784457
L02-396-1,ORANGE CO,2.377804269,1.399069546,0.722154616
L02-401-1,MISSION VIEJO,193.8621008,193.8611867,97.18078684
L02-401-1,ORANGE CO,9.558176043,5.623908238,2.819212227
L02-401-2 (COL02P55),ORANGE CO,198.6161932,116.8632216,100
L02-412-1,MISSION VIEJO,44.54747561,44.54726554,100
L02-502-1,MISSION VIEJO,7.718084185,7.718047791,2.076270077
L02-502-1,ORANGE CO,159.2281417,93.68779714,25.20341608
L02-502-1,SAN JUAN CAPISTRANO,270.3209308,270.3207373,72.7203139
L02-502-6,SAN JUAN CAPISTRANO,39.57532287,39.57529455,100
L02-541-1,SAN JUAN CAPISTRANO,1.679269035,1.679267833,100
L02-541-2,SAN JUAN CAPISTRANO,7.068091224,7.068086166,100
L02-541-3,SAN JUAN CAPISTRANO,6.30113376,6.30112925,100
L02-541-6,SAN JUAN CAPISTRANO,17.62495538,17.62494277,100
L02-541-7,SAN JUAN CAPISTRANO,24.77557829,24.77556055,100
L02-541-8,SAN JUAN CAPISTRANO,3.243005028,3.243002707,100
L02-541-9 (L02P02),SAN JUAN CAPISTRANO,222.3655102,222.3653511,100
L02-571-1,SAN JUAN CAPISTRANO,36.03370964,36.03368386,99.9999999
L02-571-2,SAN JUAN CAPISTRANO,4.524828484,4.524825246,100
L02-571-3,SAN JUAN CAPISTRANO,7.431154425,7.431149107,100
L02-571-4,SAN JUAN CAPISTRANO,3.196159513,3.196157226,100
L02-571-5 (L02TBN2),LAGUNA NIGUEL,56.98959558,56.98864128,25.81138094
